egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-B1-001,Guideword: FORM: VERB + PARTICLE + PREPOSITION + OBJECT. CanDo: Can use a limited range of verbs + particle + preposition + noun or pronoun.,SuperCategory: VERBS. SubCategory: phrasal-prepositional,B1,三词短语动词：动词+小品词+介词+宾语,"I could catch up with the work I miss after school from 3 to 4.、They interviewed and filmed pupils and teachers to find out how they get on with each other.、I'd better stop now and get on with my studying.、I think that if you want to have a peaceful holiday, you should get away from the city and enjoy the countryside, enjoy nature.、So you had better go walking or join a club, but don't forget to keep away from junk food. (Libya; B1 THRESHOLD; 2009; Arabic - Meghreb; Pass))",catch up with、get on with、get away from、keep away from,,,"三词短语动词,小品词,介词,固定搭配,宾语",
GG-B1-002,Guideword: FORM: VERB + PREPOSITION + OBJECT. CanDo: Can use an increasing range of prepositional verbs followed by noun or pronoun objects.,SuperCategory: VERBS. SubCategory: prepositional,B1,介词动词：动词+介词+宾语结构,"If you need more information, please look at the information sheet at the entrance.、In fact, our company needs to train some staff on how to deal with the complaints of customers.",look at、deal with、train on、refer to,,,"介词动词,固定搭配,宾语,词序,动词短语",
GG-B1-003,Guideword: FORM: VERB + PRONOUN + PARTICLE. CanDo: Can use an increasing range of phrasal verbs + object pronoun + particle.,SuperCategory: VERBS. SubCategory: phrasal,B1,短语动词+宾语代词+小品词：三词结构用法,"I heard about this club when I was watching T.V. and I wanted to check it out.、I really like shopping for clothes, but I hate trying them on because always when I finish, the shop assistant shows me more clothes.、So, think it over and tell me what you decide to do.",check out、try on、think over、give up,,,"短语动词,宾语代词,小品词,三词结构,词序规则",
GG-B1-004,Guideword: FORM: VERB + PARTICLE + OBJECT. CanDo: Can use a limited range of phrasal verbs + particle + object.,SuperCategory: VERBS. SubCategory: phrasal,B1,三词短语动词：动词+小品词+宾语结构,"Were it not for my university, I would give up this class immediately.、I must travel to Mexico City because I won a novel contest and I need to pick up my award.、So I opened the envelope and took out the letter.、She turned off the phone and walked to the bathroom.",give up、pick up、take out、turn off,,,"短语动词,小品词,宾语,固定搭配,词序",
GG-B1-005,"Guideword: FORM: REPORTING VERBS + DIRECT OBJECT 'THAT'-CLAUSE. CanDo: Can use an increasing range of verbs, typically reporting or mental process verbs, with a 'that'-clause as the direct object.",SuperCategory: VERBS. SubCategory: patterns_that clauses,B1,报告动词+直接宾语that从句,"Now you're sixteen, I totally understand that you don't want to go on holiday with your parents.、When I got there, I realised that I wasn't the only winner.",understand that、realize that、say that、know that,,,"报告动词,that从句,直接宾语,心理过程动词,句型结构",
GG-B1-006,Guideword: FORM: NO OBJECT. CanDo: Can use an increasing range of phrasal verbs without an object.,SuperCategory: VERBS. SubCategory: phrasal,B1,"不带宾语的短语动词：hang out, run out, give up","I needed to hang out because my life was too jam-packed and hectic.、[talking about a phone] Its battery had run out.、She cried a lot. Her feelings, emotions were all scattered. But Lisa didn't give up.",hang out、run out、give up、break down,,,"短语动词,不带宾语,小品词,固定搭配,不及物",
GG-B1-007,Guideword: FORM: VERBS + PREPOSITIONAL PHRASE + 'THAT'-CLAUSE. CanDo: Can use some reporting verbs with a prepositional phrase followed by a 'that'-clause as the direct object.,SuperCategory: VERBS. SubCategory: patterns_that clauses,B1,动词+介词短语+that从句：报告类动词的复合宾语结构,"I think also that you should say to your parents that you want to try a new experience with your friends.、[about meeting a famous person] When I said to my friends that I had met with him, they didn't believe me.",say to、explain to、complain to,,,"报告动词,介词短语,that从句,直接宾语,转述信息",
GG-B1-008,"Guideword: FORM: SEMI-MODAL AUXILIARY VERBS, 'USED TO', 'OUGHT TO'. CanDo: Can use semi-modal auxiliary verbs, 'used to' and 'ought to'.",SuperCategory: VERBS. SubCategory: types,B1,半情态助动词：used to与ought to的用法,But we used to play together every single day!、I think you ought to join a gym and you should go for a walk at least three times a week.,used to、ought to、get used to,,,"半情态助动词,used to,ought to,过去习惯,正式建议",
GG-B1-009,Guideword: FORM: VERB + 'TO-' INFINITIVE. CanDo: Can use a wide range of verbs followed by a 'to-' infinitive.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,B1,动词后接不定式：VERB + 'TO-' INFINITIVE 结构,"… it's one of the reasons I decided to change class.、I'm going to buy pictures to hang on the wall, because my room seems to be very cold and very unfriendly.",decide to、plan to、try to、want to,,,"不定式,动词搭配,目的表达,意图动词,B1语法",
GG-B1-010,Guideword: FORM: VERB + '-ING' FORM. CanDo: Can use a limited range of verbs followed by an '-ing' form.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,B1,动词后接-ing形式：常见搭配与用法,"I would like to stay there a few years to finish studying and to have my own money to start thinking of travelling.、So, would you mind telling Mr and Mrs Thomas.",finish studying、mind telling、start thinking、like travelling,,,"动词-ing形式,固定搭配,现在分词,宾语,B1语法",
