egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-C1-001,"Guideword: FORM: PHRASAL-PREPOSITIONAL VERB, STRANDED PREPOSITION. CanDo: Can use verb + particle + preposition, where the preposition is separated from its complement. ► Prepositions",SuperCategory: VERBS. SubCategory: phrasal-prepositional,C1,三词短语动词：动词+小品词+介词（介词悬空结构）,"Anyway, let me tell you what ideas I came up with.、Sometimes in order to feel confident and to be inspired we need a person to look up to.、This you will have to look out for.、This shows her superficiality, which Kingshaw cannot put up with.、Firstly, let me express that the situation you describe is certainly not something my client could easily put up with.",come up with、look up to、put up with、look out for,,,"三词短语动词,介词悬空,动词+小品词+介词,固定搭配,疑问句结构",
GG-C1-002,Guideword: FORM: VERB + PRONOUN + PARTICLE. CanDo: Can use a wide range of phrasal verbs + object pronoun + particle.,SuperCategory: VERBS. SubCategory: phrasal,C1,三词短语动词：动词+代词宾语+小品词,[talking about a band] I went to check them out last week and here is my review of the two concerts.、[talking about a living room] I tried to clean it up as much as possible.、[talking about setting up an office phone system] We just need a small set and a little time to fix it up.,check out、clean up、fix up,,,"短语动词,代词宾语,小品词,词序,固定搭配",
GG-C1-003,Guideword: FORM/USE: VERBS OF SENSES + OBJECT + INFINITIVE. CanDo: Can use some verbs connected with the senses + direct object + infinitive without 'to' emphasising a complete action.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,C1,感官动词 + 宾语 + 不带to的不定式：强调完整动作,"I would like to see it develop without any pollution and without destroying the environment.、Nowadays, it is very common in Argentina to hear people talk about the economic depression.",see、hear、feel、watch,,,"感官动词,不带to的不定式,完整动作,动词原形,宾语",
GG-C1-004,"Guideword: FORM/USE: ELLIPTED MODAL, HEDGING. CanDo: Can form alternative questions with two clauses and ellipsis in the second clause, often as a hedging device.",SuperCategory: QUESTIONS. SubCategory: alternatives,C1,省略情态动词的替代疑问句：作为委婉表达方式,Maybe you could hand out toys or show a movie?、Maybe you will be able to arrange another excursion this year or provide more time there?,maybe、perhaps、or,,,"替代疑问句,省略情态动词,委婉表达,协商语气,or连接",
GG-C1-005,Guideword: FORM/USE: STRONG ALTERNATIVE. CanDo: Can form alternative questions using an extreme alternative to give greater pragmatic force.,SuperCategory: QUESTIONS. SubCategory: alternatives,C1,强对比选择疑问句：使用极端对立选项增强语用效果,Is this new industry a blessing for the region or the exact opposite?,or、the exact opposite、a blessing or a curse,,,"选择疑问句,极端对立,语用效果,or连接,正式语境",
GG-C1-006,Guideword: FORM: TAGS WITH 'THERE' + 'BE'. CanDo: Can use affirmative and negative forms of question tags with 'there' + 'be'.,SuperCategory: QUESTIONS. SubCategory: tags,C1,存在句反意疑问句：there be 结构的附加疑问,"As you put it that way, there isn't much of a difference with our time, is there?、But there is always something you can improve, isn't there?",there is、there are、isn't there、aren't there,,,"反意疑问句,存在句,there be,附加疑问,一致性",
GG-C1-007,"Guideword: USE: FOCUS. CanDo: Can use 'wh-'questions as a focusing device, often in a narrative or argument.",SuperCategory: QUESTIONS. SubCategory: wh-,C1,wh-疑问句作为焦点强调手段,"Nevertheless, we still give presents because we really want to. You can recognize them normally very fast! They are the ones which are unexpected and made with lots of love. So what makes a good present? From my point of view, the best presents are personal and fitted to the individual. (Germany; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2008; German; Pass、The other very serious problem in connection with cars is pollution, which is the cause of more diseases and problems than we realise at the moment. But what are the alternatives? Berlin has a well-structured and functioning subway…、Some of them are coin operated but some are magnetic-card operated. Use these coin-operated ones because to call from the other ones, you should buy a magnetic card, which is only possible in post offices. What else can I tell you? If you want anything to drink or to eat after your arrival, there are restaurants at the airport. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Polish; Pass",what makes、what are、how can、why should,,,"wh-疑问句,焦点强调,叙事技巧,论证手段,修辞手法",
GG-C1-008,"Guideword: FORM: 'OURS' AS SUBJECT. CanDo: Can use the possessive pronoun 'ours', in subject position.",SuperCategory: PRONOUNS. SubCategory: possessive,C1,物主代词'ours'作主语：高级用法解析,"I hope that other councils will consider improving the cyclists' cycling conditions as ours did.、Yes, of course there are much larger gardens in this area, but ours is more than four times as big as the one we had in Holland.、What is more, the manager organises excursions to London. Ours was breathtaking. We visited unbelievably interesting museums…",ours is、ours was、ours did,,,"物主代词,主语位置,替代功能,比较结构,避免重复",
GG-C1-009,"Guideword: FORM/USE: (SUBJECT) 'IT' + PASSIVE. CanDo: Can use 'it' with the passive voice where the subject is unknown or unimportant, often in formal contexts. ► passives",SuperCategory: PRONOUNS. SubCategory: subject/ object,C1,形式主语'it'与被动语态的搭配：用于未知或不重要主语,"It was considered to be the most important thing to supply every computer with Internet and E-mail access、It is hoped that this report will help the club to improve and meet the needs of the whole school.、Firstly it was highlighted that so many people take advantage of the park, but our survey clearly contradicts this view.",it is believed、it was reported、it is considered、it is hoped,,,"形式主语it,被动语态,that从句,正式语境,未知主语",
GG-C1-010,"Guideword: FORM: 'THAT OF', 'THOSE OF'. CanDo: Can use 'that of' and 'those of' as a possessive form, in formal and professional contexts.",SuperCategory: PRONOUNS. SubCategory: demonstratives,C1,正式场合所有格表达：that of 与 those of 的用法,"It is widely known that the Russian educational system differs dramatically from that of the European, Asian or American countries.、The strength of our product is that it fits the customers' demands - especially those of middle-aged single consumers.、Therefore, I urge you to publish this letter and reconsider your opinions, which clearly do not reflect those of the general population.",that of、those of、compared to、different from,,,"that of,those of,所有格,正式表达,避免重复",
