egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-A1-001,Guideword: FORM: VERB + PREPOSITION + OBJECT. CanDo: Can use a limited range of prepositional verbs followed by noun or pronoun objects.,SuperCategory: VERBS. SubCategory: prepositional,A1,介词动词基础用法：动词+介词+宾语,"I listen to music in the living room, and also eat my breakfast, lunch and dinner.、I can look after her if she needs to do shopping and cleaning.、I like to walk in the woods and look for mushrooms.",listen to、look after、look for,,,"介词动词,固定搭配,动词+介词,宾语,日常表达",
GG-A1-002,Guideword: FORM: AUXILIARY VERB 'BE'. CanDo: Can use auxiliary verb 'be'. ►  present continuous,SuperCategory: VERBS. SubCategory: types,A1,助动词be的现在进行时用法,I am writing to tell you what I do every day at college.、I'm working today.、We are going to the park.,be working、be going、be studying、be doing,,,"助动词be,现在进行时,动词-ing形式,进行时态,be动词变化",
GG-A1-003,"Guideword: FORM: MODAL AUXILIARY VERBS. CanDo: Can use a limited range of modal auxiliary verbs ('can', 'will', 'would').",SuperCategory: VERBS. SubCategory: types,A1,"情态助动词基础：can, will, would的用法",Can you bring some music with you to the dinner.、I'll be very happy to help you.、I would like to eat some Spanish food.,can you、i will、would like,,,"情态助动词,can,will,would,动词原形",
GG-A1-004,"Guideword: FORM: LINKING VERB, 'BE'. CanDo: Can use linking verb 'be'.",SuperCategory: VERBS. SubCategory: types,A1,系动词be的基本用法：描述状态与特征,I am 22 years old.、There are 4 rooms.、And I like my home because it's not too big and it's a very nice flat.、It was very nice.,be happy、be a student、be in、be at,,,"系动词,be动词,主语一致,表语,缩写形式",
GG-A1-005,Guideword: FORM: MAIN VERBS. CanDo: Can use regular and irregular main verbs in simple verb phrases. ► present simple ► past simple,SuperCategory: VERBS. SubCategory: types,A1,主要动词基础用法：规则与不规则动词在一般现在时和一般过去时中的运用,"You know, I love your cooking!、I have very good friends.、She comes from India.、She has long, dark hair and brown eyes.、He gets up at 6 o'clock and goes to work.、I heard from our neighbours about you.、My grandmother lived in a village and I often went there.",get up、go to work、come from、have friends,,,"主要动词,规则动词,不规则动词,一般现在时,一般过去时,动词短语",
GG-A1-006,Guideword: FORM: VERB + 'TO'-INFINITIVE. CanDo: Can use a limited range of verbs followed by a 'to'- infinitive.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,A1,动词后接to不定式：基础用法,I like to go to the zoo.、Sometimes I don't like to go out because It's very cold.、I want to invite you for dinner.,like to、want to、love to、hope to,,,"to不定式,动词原形,like to,want to,句型结构",
GG-A1-007,Guideword: FORM: 'WOULD LIKE TO'. CanDo: Can use 'would like to' + infinitive.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,A1,礼貌表达意愿：would like to + 动词原形,I would like to meet you to give you some information about the Brannl State and the shops near her.、I'd like to invite you on Sunday about six o'clock in the evening.,would like to、i'd like to、would you like to,,,"would like to,动词原形,礼貌表达,不定式,邀请句型",
GG-A1-008,"Guideword: FORM: 'LIKE' + 'TO'-INFINITIVE OR + '-ING'. CanDo: Can use 'like' followed either by a 'to'-infinitive or an '-ing' form, with no change in meaning.",SuperCategory: VERBS. SubCategory: patterns_with to and -ing,A1,动词like的两种用法：like to do与like doing,I like to work with my teacher.、I don't like to eat at College.、I like reading lots of magazines.、I don't like doing homework in college.、I like learning grammar.、I like travelling by car.,like to、like doing、don't like to、doesn't like doing,,,"like,to-infinitive,gerund,动名词,不定式",
GG-A1-009,Guideword: FORM: 'THERE IS'. CanDo: Can use 'there is' + singular noun phrase as complement.,SuperCategory: VERBS. SubCategory: there is/are,A1,存在句型：there is + 单数名词短语,"My home is nice, there is a nice garden.、In my College there is a big library.、In my home there are two bedrooms, there's a kitchen, there's a bathroom and a living-room.",there is、there's、is there,,,"there is,单数名词,存在句型,地点状语,there's",
GG-A1-010,Guideword: FORM: 'THERE ARE'. CanDo: Can use 'there are' + plural noun phrase as complement.,SuperCategory: VERBS. SubCategory: there is/are,A1,存在句型：there are + 复数名词短语,"There are two bathrooms.、There are many shops and schools.、I think, in the park there are animals.",there are、in the park、at school,,,"there are,复数名词,存在句型,地点状语,主谓一致",
